Title,First Name,Date
"Baby, I Love Your Way/Freebird Medley",Will,1988-11-26
Bad Medicine,Bon,1988-11-19
"Wild, Wild West",The,1988-11-05
"Kokomo (From""Cocktail"" )",The,1988-10-29
Groovy Kind Of Love,Phil,1988-10-22
Red Red Wine,UB40,1988-10-08
Love Bites,Def,1988-10-01
"Don't Worry, Be Happy (From ""Cocktail"")",Bobby,1988-09-24
Sweet Child O' Mine,Guns,1988-09-10
Monkey,George,1988-08-27
Roll With It,Steve,1988-08-13
Hold On To The Nights,Richard,1988-07-16
The Flame,Cheap,1988-07-09
Dirty Diana,Michael,1988-06-25
Foolish Beat,Debbie,1988-06-18
Together Forever,Rick,1988-06-11
Anything For You,Gloria,1988-05-14
Wishing Well,Terence,1988-04-30
Where Do Broken Hearts Go,Whitney,1988-04-23
"Get Outta My Dreams, Get Into My Car",Billy,1988-04-09
Man In The Mirror,Michael,1988-03-26
Never Gonna Give You Up,Rick,1988-03-12
Father Figure,George,1988-02-27
Seasons Change,Expose,1988-02-13
Could've Been,Tiffany,1988-02-06
Need You Tonight,INXS,1988-01-23
The Way You Make Me Feel,Michael,1988-01-16
Got My Mind Set On You,George,1988-01-09
So Emotional,Whitney,1988-01-02
Faith,George,1987-12-26
Heaven Is A Place On Earth,Belinda,1987-11-28
(I've Had) The Time Of My Life,Bill,1987-11-21
Mony Mony,Billy,1987-11-14
I Think We're Alone Now,Tiffany,1987-11-07
Bad,Michael,1987-10-24
Lost In Emotion,Lisa,1987-10-10
Here I Go Again,Whitesnake,1987-10-03
Didn't We Almost Have It All,Whitney,1987-09-26
I Just Can't Stop Loving You,Michael,1987-09-12
La Bamba,Los,1987-09-05
Who's That Girl,Madonna,1987-08-15
I Still Haven't Found What I'm Looking For,U2,1987-08-08
"Shakedown (From ""Beverly Hills Cop II"")",Bob,1987-07-25
Alone,Heart,1987-07-18
I Wanna Dance With Somebody (Who Loves Me),Whitney,1987-06-27
Head To Toe,Lisa,1987-06-13
Always,Atlantic,1987-06-06
You Keep Me Hangin' On,Kim,1987-05-30
With or Without You,U2,1987-05-23
(I Just) Died In Your Arms,Cutting,1987-05-02
I Knew You Were Waiting (For Me),Aretha,1987-04-18
Nothing's Gonna Stop Us Now,Starship,1987-04-04
Lean On Me,Club,1987-03-21
Jacob's Ladder,Huey,1987-03-07
Livin' On A Prayer,Bon,1987-02-28
Open Your Heart,Madonna,1987-01-31
At This Moment,Billy,1987-01-24
Shake You Down,Gregory,1987-01-10
Walk Like An Egyptian,The,1987-01-03
The Way It Is,Bruce,1986-12-06
The Next Time I Fall,Peter,1986-11-29
You Give Love A Bad Name,Bon,1986-11-22
Human,The,1986-11-15
Amanda,Boston,1986-11-08
True Colors,Cyndi,1986-10-25
When I Think Of You,Janet,1986-10-11
Stuck With You,Huey,1986-09-27
"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,1986-09-06
Venus,Bananarama,1986-08-30
Higher Love,Steve,1986-08-23
Papa Don't Preach,Madonna,1986-08-16
"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter,1986-08-02
Sledgehammer,Peter,1986-07-19
Invisible Touch,Genesis,1986-07-12
Holding Back The Years,Simply,1986-07-05
There'll Be Sad Songs (To Make You Cry),Billy,1986-06-28
On My Own,Patti,1986-06-21
Live To Tell,Madonna,1986-05-31
Greatest Love Of All,Whitney,1986-05-24
West End Girls,Pet,1986-05-03
Addicted To Love,Robert,1986-04-26
Kiss,Prince,1986-04-19
Rock Me Amadeus,Falco,1986-04-05
These Dreams,Heart,1986-03-15
Sara,Starship,1986-03-08
Kyrie,Mr.,1986-03-01
How Will I Know,Whitney,1986-02-15
That's What Friends Are For,Dionne,1986-02-01
"Say You, Say Me",Lionel,1986-01-04
Broken Wings,Mr.,1985-12-07
Separate Lives,Phil,1985-11-23
We Built This City,Starship,1985-11-16
Miami Vice Theme,Jan,1985-11-02
Part-Time Lover,Stevie,1985-10-26
Saving All My Love For You,Whitney,1985-10-19
Take On Me,a-ha,1985-10-12
Oh Sheila,Ready,1985-10-05
Money For Nothing,Dire,1985-09-28
St. Elmo's Fire (Man In Motion),John,1985-09-07
Shout,Tears,1985-08-10
Everytime You Go Away,Paul,1985-07-20
A View To A Kill,Duran,1985-07-13
Sussudio,Phil,1985-06-29
Heaven,Bryan,1985-06-22
Everybody Wants To Rule The World,Tears,1985-06-08
Everything She Wants,Wham!,1985-05-25
Don't You (Forget About Me),Simple,1985-05-11
