Title,Artist,First Name,Date
You've Lost That Lovin' Feelin',The Righteous Brothers,The,1965-02-06
Downtown,Petula Clark,Petula,1965-01-23
Come See About Me,The Supremes,The,1965-01-09
I Feel Fine,The Beatles,The,1965-01-02
Mr. Lonely,Bobby Vinton,Bobby,1964-12-05
Ringo,Lorne Greene,Lorne,1964-11-28
Leader Of The Pack,The Shangri-Las,The,1964-11-21
Baby Love,The Supremes,The,1964-11-14
Do Wah Diddy Diddy,Manfred Mann,Manfred,1964-10-17
"Oh, Pretty Woman",Roy Orbison And The Candy Men,Roy,1964-10-03
House Of The Rising Sun,The Animals,The,1964-09-12
Where Did Our Love Go,The Supremes,The,1964-08-22
Everybody Loves Somebody,Dean Martin,Dean,1964-08-08
A Hard Day's Night,The Beatles,The,1964-08-01
Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",The,1964-07-18
I Get Around,The Beach Boys,The,1964-07-04
A World Without Love,Peter And Gordon,Peter,1964-06-20
Chapel Of Love,The Dixie Cups,The,1964-06-13
Love Me Do,The Beatles,The,1964-05-23
My Guy,Mary Wells,Mary,1964-05-16
"Hello, Dolly!",Louis Armstrong And The All Stars,Louis,1964-05-02
Can't Buy Me Love,The Beatles,The,1964-04-25
She Loves You,The Beatles,The,1964-03-21
I Want To Hold Your Hand,The Beatles,The,1964-03-07
There! I've Said It Again,Bobby Vinton,Bobby,1964-01-18
Dominique,The Singing Nun (Soeur Sourire),The,1963-12-21
I'm Leaving It Up To You,Dale & Grace,Dale,1963-11-23
Deep Purple,Nino Tempo & April Stevens,Nino,1963-11-09
Sugar Shack,Jimmy Gilmer And The Fireballs,Jimmy,1963-11-02
Blue Velvet,Bobby Vinton,Bobby,1963-09-28
My Boyfriend's Back,The Angels,The,1963-09-07
Fingertips - Pt 2,Little Stevie Wonder,Little,1963-08-17
So Much In Love,The Tymes,The,1963-07-27
Surf City,Jan & Dean,Jan,1963-07-20
Easier Said Than Done,The Essex,The,1963-07-06
Sukiyaki,Kyu Sakamoto,Kyu,1963-06-22
It's My Party,Lesley Gore,Lesley,1963-06-01
If You Wanna Be Happy,Jimmy Soul,Jimmy,1963-05-18
I Will Follow Him,Little Peggy March,Little,1963-05-04
He's So Fine,The Chiffons,The,1963-04-13
Our Day Will Come,Ruby And The Romantics,Ruby,1963-03-16
Walk Like A Man,The 4 Seasons,The,1963-03-09
Hey Paula,Paul and Paula,Paul,1963-02-16
Walk Right In,The Rooftop Singers,The,1963-01-26
Telstar,The Tornadoes,The,1962-12-29
He's A Rebel,The Crystals,The,1962-11-03
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",Bobby,1962-10-20
Sherry,The 4 Seasons,The,1962-10-06
Sheila,Tommy Roe,Tommy,1962-09-01
Breaking Up Is Hard To Do,Neil Sedaka,Neil,1962-08-11
Roses Are Red (My Love),Bobby Vinton,Bobby,1962-07-28
The Stripper,David Rose and His Orchestra,David,1962-06-30
I Can't Stop Loving You,Ray Charles,Ray,1962-06-23
Stranger On The Shore,Mr. Acker Bilk,Mr.,1962-05-19
Soldier Boy,The Shirelles,The,1962-05-12
Good Luck Charm,Elvis Presley With The Jordanaires,Elvis,1962-04-21
Johnny Angel,Shelley Fabares,Shelley,1962-04-07
Don't Break The Heart That Loves You,Connie Francis,Connie,1962-03-24
Hey! Baby,Bruce Channel,Bruce,1962-03-17
Duke Of Earl,Gene Chandler,Gene,1962-02-24
Peppermint Twist - Part I,Joey Dee & the Starliters,Joey,1962-02-03
The Twist,Chubby Checker,Chubby,1962-01-13
The Lion Sleeps Tonight,The Tokens,The,1961-12-25
Big Bad John,Jimmy Dean,Jimmy,1961-11-27
Runaround Sue,Dion,Dion,1961-10-23
Hit The Road Jack,Ray Charles and his Orchestra,Ray,1961-10-09
Take Good Care Of My Baby,Bobby Vee,Bobby,1961-09-25
Michael,The Highwaymen,The,1961-09-04
Wooden Heart,Joe Dowell,Joe,1961-08-21
Tossin' And Turnin',Bobby Lewis,Bobby,1961-08-14
Quarter To Three,U.S. Bonds,U.S.,1961-06-26
Moody River,Pat Boone,Pat,1961-06-12
Travelin' Man,Ricky Nelson,Ricky,1961-06-05
Running Scared,Roy Orbison,Roy,1961-05-29
Mother-In-Law,Ernie K-Doe,Ernie,1961-05-15
Runaway,Del Shannon,Del,1961-05-08
Blue Moon,The Marcels,The,1961-04-10
Surrender,Elvis Presley With The Jordanaires,Elvis,1961-03-20
Pony Time,Chubby Checker,Chubby,1961-03-06
Calcutta,Lawrence Welk And His Orchestra,Lawrence,1961-02-13
Will You Love Me Tomorrow,The Shirelles,The,1961-01-30
Wonderland By Night,Bert Kaempfert And His Orchestra,Bert,1961-01-16
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,Elvis,1960-12-26
Stay,Maurice Williams & The Zodiacs,Maurice,1960-11-14
Georgia On My Mind,Ray Charles,Ray,1960-11-07
Save The Last Dance For Me,The Drifters,The,1960-10-31
I Want To Be Wanted,Brenda Lee,Brenda,1960-10-17
Mr. Custer,Larry Verne,Larry,1960-10-03
My Heart Has A Mind Of Its Own,Connie Francis,Connie,1960-09-26
It's Now Or Never,Elvis Presley With The Jordanaires,Elvis,1960-09-05
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,Brian,1960-08-01
Alley-Oop,Hollywood Argyles,Hollywood,1960-07-04
Everybody's Somebody's Fool,Connie Francis,Connie,1960-06-27
Cathy's Clown,The Everly Brothers,The,1960-06-13
Stuck On You,Elvis Presley With The Jordanaires,Elvis,1960-05-09
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,Percy,1960-04-11
Teen Angel,Mark Dinning,Mark,1960-02-08
Running Bear,Johnny Preston,Johnny,1960-01-25
El Paso,Marty Robbins,Marty,1960-01-04
Why,Frankie Avalon,Frankie,1959-12-21
Heartaches By The Number,Guy Mitchell,Guy,1959-12-14
Mack The Knife,Bobby Darin,Bobby,1959-11-30
Mr. Blue,The Fleetwoods,The,1959-11-09
Sleep Walk,Santo & Johnny,Santo,1959-09-21
The Three Bells,The Browns,The,1959-09-07
A Big Hunk O' Love,Elvis Presley With The Jordanaires,Elvis,1959-08-10
Lonely Boy,Paul Anka,Paul,1959-07-27
The Battle Of New Orleans,Johnny Horton,Johnny,1959-06-29
Kansas City,Wilbert Harrison,Wilbert,1959-05-18
The Happy Organ,"Dave ""Baby"" Cortez",Dave,1959-05-04
Come Softly To Me,The Fleetwoods,The,1959-04-27
Stagger Lee,Lloyd Price,Lloyd,1959-02-23
Smoke Gets In Your Eyes,The Platters,The,1959-01-26
The Chipmunk Song,The Chipmunks With David Seville,The,1959-01-05
