Title,Artist,First Name,Date
Crazy In Love,Beyonce Featuring Jay Z,Beyonce,2003-08-23
This Is The Night,Clay Aiken,Clay,2003-06-28
21 Questions,50 Cent Featuring Nate Dogg,50,2003-06-14
Get Busy,Sean Paul,Sean,2003-05-17
In Da Club,50 Cent,50,2003-04-26
All I Have,Jennifer Lopez Featuring LL Cool J,Jennifer,2003-02-22
"Bump, Bump, Bump",B2K & P. Diddy,B2K,2003-01-25
Lose Yourself,Eminem,Eminem,2003-01-18
Dilemma,Nelly Featuring Kelly Rowland,Nelly,2002-10-26
A Moment Like This,Kelly Clarkson,Kelly,2002-10-05
Hot In Herre,Nelly,Nelly,2002-08-03
Foolish,Ashanti,Ashanti,2002-06-15
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,Jennifer,2002-04-06
Always On Time,Ja Rule Featuring Ashanti,Ja,2002-02-23
U Got It Bad,Usher,Usher,2002-02-09
How You Remind Me,Nickelback,Nickelback,2002-01-05
Family Affair,Mary J. Blige,Mary,2001-12-01
I'm Real,Jennifer Lopez Featuring Ja Rule,Jennifer,2001-10-20
Fallin',Alicia Keys,Alicia,2001-10-06
Bootylicious,Destiny's Child,Destiny's,2001-08-04
U Remind Me,Usher,Usher,2001-07-21
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",Christina,2001-06-23
All For You,Janet,Janet,2001-05-19
Butterfly,Crazy Town,Crazy,2001-03-31
Angel,Shaggy Featuring Rayvon,Shaggy,2001-03-24
Stutter,Joe Featuring Mystikal,Joe,2001-03-10
Ms. Jackson,OutKast,OutKast,2001-02-10
It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent",Shaggy,2001-02-03
Independent Women Part I,Destiny's Child,Destiny's,2001-01-20
With Arms Wide Open,Creed,Creed,2000-11-04
Come On Over Baby (All I Want Is You),Christina Aguilera,Christina,2000-10-28
Music,Madonna,Madonna,2000-09-30
Doesn't Really Matter,Janet,Janet,2000-09-02
Incomplete,Sisqo,Sisqo,2000-08-12
It's Gonna Be Me,'N Sync,'N,2000-07-29
Bent,matchbox twenty,matchbox,2000-07-15
Everything You Want,Vertical Horizon,Vertical,2000-07-08
Be With You,Enrique Iglesias,Enrique,2000-07-01
Try Again,Aaliyah,Aaliyah,2000-06-10
Maria Maria,Santana Featuring The Product G&B,Santana,2000-06-03
Say My Name,Destiny's Child,Destiny's,2000-03-25
Amazed,Lonestar,Lonestar,2000-03-04
I Knew I Loved You,Savage Garden,Savage,2000-02-19
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,Mariah,2000-02-12
What A Girl Wants,Christina Aguilera,Christina,2000-01-15
Smooth,Santana Featuring Rob Thomas,Santana,2000-01-01
Heartbreaker,Mariah Carey Featuring Jay-Z,Mariah,1999-10-09
Unpretty,TLC,TLC,1999-09-25
Bailamos,Enrique Iglesias,Enrique,1999-09-04
Genie In A Bottle,Christina Aguilera,Christina,1999-08-21
Wild Wild West,Will Smith Featuring Dru Hill & Kool Mo Dee,Will,1999-07-17
"Bills, Bills, Bills",Destiny's Child,Destiny's,1999-07-10
If You Had My Love,Jennifer Lopez,Jennifer,1999-07-03
Livin' La Vida Loca,Ricky Martin,Ricky,1999-05-29
No Scrubs,TLC,TLC,1999-04-24
Believe,Cher,Cher,1999-03-27
Angel Of Mine,Monica,Monica,1999-02-27
...Baby One More Time,Britney Spears,Britney,1999-01-30
Have You Ever?,Brandy,Brandy,1999-01-16
I'm Your Angel,R. Kelly & Celine Dion,R.,1999-01-02
Lately,Divine,Divine,1998-11-21
Doo Wop (That Thing),Lauryn Hill,Lauryn,1998-11-14
The First Night,Monica,Monica,1998-10-31
One Week,Barenaked Ladies,Barenaked,1998-10-10
I Don't Want To Miss A Thing,Aerosmith,Aerosmith,1998-09-19
The Boy Is Mine,Brandy & Monica,Brandy,1998-08-22
Too Close,Next,Next,1998-05-23
My All,Mariah Carey,Mariah,1998-05-16
All My Life,K-Ci & JoJo,K-Ci,1998-04-11
Gettin' Jiggy Wit It,Will Smith,Will,1998-03-21
My Heart Will Go On,Celine Dion,Celine,1998-02-28
Nice & Slow,Usher,Usher,1998-02-14
Together Again,Janet,Janet,1998-01-31
Truly Madly Deeply,Savage Garden,Savage,1998-01-17
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,Elton,1998-01-03
4 Seasons Of Loneliness,Boyz II Men,Boyz,1997-09-27
Honey,Mariah Carey,Mariah,1997-09-20
Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,The,1997-08-30
I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,Puff,1997-08-16
MMMBop,Hanson,Hanson,1997-05-31
Hypnotize,The Notorious B.I.G.,The,1997-05-10
Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),Puff,1997-04-19
Wannabe,Spice Girls,Spice,1997-03-08
Un-Break My Heart,Toni Braxton,Toni,1997-02-08
No Diggity,BLACKstreet (Featuring Dr. Dre),BLACKstreet,1996-11-23
Macarena (Bayside Boys Mix),Los Del Rio,Los,1996-10-26
You're Makin' Me High/Let It Flow,Toni Braxton,Toni,1996-07-20
How Do U Want It/California Love,2Pac Featuring K-Ci And JoJo,2Pac,1996-07-13
Tha Crossroads,Bone Thugs-N-Harmony,Bone,1996-06-29
Always Be My Baby,Mariah Carey,Mariah,1996-05-04
"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,Celine,1996-04-20
One Sweet Day,Mariah Carey & Boyz II Men,Mariah,1996-03-09
"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,Whitney,1995-11-18
Fantasy,Mariah Carey,Mariah,1995-11-11
"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,Coolio,1995-09-16
You Are Not Alone,Michael Jackson,Michael,1995-08-26
Kiss From A Rose,Seal,Seal,1995-08-19
Waterfalls,TLC,TLC,1995-08-12
Have You Ever Really Loved A Woman?,Bryan Adams,Bryan,1995-06-24
This Is How We Do It,Montell Jordan,Montell,1995-05-20
Creep,TLC,TLC,1995-02-11
On Bended Knee,Boyz II Men,Boyz,1995-01-14
"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,Ini,1994-12-17
I'll Make Love To You,Boyz II Men,Boyz,1994-11-19
"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,Lisa,1994-08-13
I Swear,All-4-One,All-4-One,1994-07-23
The Sign,Ace Of Base,Ace,1994-05-07
Bump N' Grind,R. Kelly,R.,1994-04-23
The Power Of Love,Celine Dion,Celine,1994-02-26
All For Love,Bryan Adams/Rod Stewart/Sting,Bryan,1994-01-29
Hero,Mariah Carey,Mariah,1994-01-08
Again,Janet Jackson,Janet,1993-12-11
I'd Do Anything For Love (But I Won't Do That),Meat Loaf,Meat,1993-11-27
Dreamlover,Mariah Carey,Mariah,1993-10-23
"Can't Help Falling In Love (From ""Sliver"")",UB40,UB40,1993-08-28
Weak,SWV,SWV,1993-07-10
That's The Way Love Goes,Janet Jackson,Janet,1993-06-26
Freak Me,Silk,Silk,1993-05-01
Informer,Snow,Snow,1993-04-17
A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,Peabo,1993-02-27
I Will Always Love You,Whitney Houston,Whitney,1993-02-20
How Do You Talk To An Angel,The Heights,The,1992-11-14
"End Of The Road (From ""Boomerang"")",Boyz II Men,Boyz,1992-10-31
This Used To Be My Playground,Madonna,Madonna,1992-08-01
Baby Got Back,Sir Mix-A-Lot,Sir,1992-07-25
I'll Be There,Mariah Carey,Mariah,1992-06-20
Jump,Kris Kross,Kris,1992-06-06
Save The Best For Last,Vanessa Williams,Vanessa,1992-04-11
To Be With You,Mr. Big,Mr.,1992-03-07
I'm Too Sexy,Right Said Fred,Right,1992-02-15
Don't Let The Sun Go Down On Me,George Michael/Elton John,George,1992-01-25
All 4 Love,Color Me Badd,Color,1992-01-18
Black Or White,Michael Jackson,Michael,1992-01-11
Set Adrift On Memory Bliss,P.M. Dawn,P.M.,1991-11-23
When A Man Loves A Woman,Michael Bolton,Michael,1991-11-16
Cream,Prince And The N.P.G.,Prince,1991-11-09
Romantic,Karyn White,Karyn,1991-10-26
Emotions,Mariah Carey,Mariah,1991-10-19
Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,Marky,1991-09-28
I Adore Mi Amor,Color Me Badd,Color,1991-09-21
The Promise Of A New Day,Paula Abdul,Paula,1991-09-07
(Everything I Do) I Do It For You,Bryan Adams,Bryan,1991-08-31
Unbelievable,EMF,EMF,1991-07-13
Rush Rush,Paula Abdul,Paula,1991-07-06
More Than Words,Extreme,Extreme,1991-06-01
I Don't Wanna Cry,Mariah Carey,Mariah,1991-05-25
I Like The Way (The Kissing Game),Hi-Five,Hi-Five,1991-05-11
Joyride,Roxette,Roxette,1991-05-04
Baby Baby,Amy Grant,Amy,1991-04-27
You're In Love,Wilson Phillips,Wilson,1991-04-13
I've Been Thinking About You,Londonbeat,Londonbeat,1991-04-06
Coming Out Of The Dark,Gloria Estefan,Gloria,1991-03-30
One More Try,Timmy T.,Timmy,1991-03-16
Someday,Mariah Carey,Mariah,1991-03-09
All The Man That I Need,Whitney Houston,Whitney,1991-02-23
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,C+C,1991-02-09
The First Time,Surface,Surface,1991-01-26
Love Will Never Do (Without You),Janet Jackson,Janet,1991-01-12
Justify My Love,Madonna,Madonna,1991-01-05
Because I Love You (The Postman Song),Stevie B,Stevie,1990-12-22
I'm Your Baby Tonight,Whitney Houston,Whitney,1990-11-24
Love Takes Time,Mariah Carey,Mariah,1990-11-17
Ice Ice Baby,Vanilla Ice,Vanilla,1990-10-27
Black Cat,Janet Jackson,Janet,1990-10-20
I Don't Have The Heart,James Ingram,James,1990-10-13
Praying For Time,George Michael,George,1990-10-06
Close To You,Maxi Priest,Maxi,1990-09-29
(Can't Live Without Your) Love And Affection,Nelson,Nelson,1990-09-22
Release Me,Wilson Phillips,Wilson,1990-09-15
"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,Jon,1990-09-01
If Wishes Came True,Sweet Sensation,Sweet,1990-08-25
Vision Of Love,Mariah Carey,Mariah,1990-08-18
