Title,Year,Actors,Characters
Rain Man,1988,"['Dustin', 'Tom', 'Valeria', 'Gerald']",
Indiana Jones and the Last Crusade,1989,"['Harrison', 'Sean', 'Denholm', 'Alison']","['Indiana', 'Jones']"
Ghost,1990,"['Patrick', 'Demi', 'Tony', 'Stanley']",
Terminator 2: Judgment Day,1991,"['Arnold', 'Linda', 'Edward', 'Robert']","['Sarah', 'John', 'Connor']"
Aladdin,1992,"['Scott', 'Robin', 'Linda', 'Jonathan']","['Aladdin', 'Jasmin']"
Jurassic Park,1993,"['Sam', 'Laura', 'Jeff', 'Richard']","['Alan', 'Ellie', 'Ian']"
The Lion King,1994,"['Rowan', 'Matthew', 'Niketa', 'Jim']","['Simba', 'Nala']"
Toy Story,1995,"['Tom', 'Tim', 'Don', 'Jim']","['Woody', 'Andy', 'Sid', 'Buzz']"
Die Hard with a Vengeance,1995,"['Bruce', 'Jeremy', 'Samuel', 'Graham']","['Hans', 'John', 'Simon', 'Katya', 'Zeus', 'Charles']"
Independence Day,1996,"['Will', 'Bill', 'Jeff', 'Mary']",
Titanic,1997,"['Leonardo', 'Kate', 'Billy', 'Kathy']","['Rose', 'Jack']"
Armageddon,1998,"['Bruce', 'Billy', 'Ben', 'Liv']",
Star Wars: Episode I The Phantom Menace,1999,"['Liam', 'Ewan', 'Natalie', 'Jake']","['Luke', 'Leia', 'Han', 'Anakin', 'Ben']"
Harry Potter and the Philosopher's Stone,2001,,"['Harry', 'Ron', 'Hermione', 'Fred', 'George', 'Ginny', 'Albus', 'Luna', 'Sirius']"
The Lord of the Rings: The Two Towers,2002,"['Bruce', 'Sean', 'John', 'Sala']","['Frodo', 'Samwise', 'Aragorn', 'Legolas', 'Arwen', 'Sauron', 'Elrond', 'Bilbo', 'Gandolf', 'Saruman']"
The Lord of the Rings: The Return of the King,2003,"['Noel', 'Ali', 'Sean', 'David']","['Frodo', 'Samwise', 'Aragorn', 'Legolas', 'Arwen', 'Sauron', 'Elrond', 'Bilbo', 'Gandolf', 'Saruman']"
Shrek 2,2004,"['Mike', 'Eddie', 'Cameron', 'Julie']","['Shrek', 'Fiona']"
Harry Potter and the Goblet of Fire,2005,"['Eric', 'Timothy', 'David', 'Daniel']","['Harry', 'Ron', 'Hermione', 'Fred', 'George', 'Ginny', 'Albus', 'Luna', 'Sirius']"
Pirates of the Caribbean: Dead Man's Chest,2006,"['Johnny', 'Orlando', 'Keira', 'Jack']","['Jack', 'Hector', 'Elizabeth', 'Will']"
Pirates of the Caribbean: At World's End,2007,"['Johnny', 'Geoffrey', 'Orlando', 'Keira']","['Jack', 'Hector', 'Elizabeth', 'Will']"
The Dark Knight,2008,"['Christian', 'Heath', 'Aaron', 'Michael']","['Bruce', 'Alfred']"
Avatar,2009,"['Sam', 'Zoe', 'Sigourney', 'Stephen']","['Jake', 'Parker', 'Trudy']"
Toy Story 3,2010,"['Tom', 'Tim', 'Joan', 'Ned']","['Woody', 'Andy', 'Sid', 'Buzz']"
Harry Potter and the Deathly Hallows Part 2,2011,"['Ralph', 'Michael', 'Alan', 'Daniel']","['Harry', 'Ron', 'Hermione', 'Fred', 'George', 'Ginny', 'Albus', 'Luna', 'Sirius']"
